Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Logistic Regression,0.712,0.332378223495702,0.6783625730994152,0.4461538461538462,0.7689882123886314,0.44846682453220343
Gradient Boosting,0.839,0.5892857142857143,0.19298245614035087,0.2907488986784141,0.7430498239970654,0.4215261941287306
Random Forest,0.764,0.36401673640167365,0.5087719298245614,0.424390243902439,0.741279213312735,0.3941755223935092
XGBoost,0.825,0.46875,0.17543859649122806,0.2553191489361702,0.7248217044420461,0.399305466005937
Decision Tree,0.727,0.3277027027027027,0.5672514619883041,0.41541755888650966,0.6801226024449947,0.3247813290016396
